Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Gamblers_230215,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TeamTeam_7340,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Carolina_4733,Tick,0,0,0,0,,,0,0,0,OK
4e-06,KPW_692137,Tick,0,0,0,0,,,0,0,0,OK
4e-06,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TriangularBicycle_524288,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Team7_921405,Tick,0,0,0,0,,,0,0,0,OK
0.22242,Gamblers_230215,Tick,0,0,0,0,,,0,0,0,OK
0.22242,TeamTeam_7340,Tick,0,0,0,0,,,0,0,0,OK
0.22242,Carolina_4733,Tick,0,0,0,0,,,0,0,0,OK
0.22242,KPW_692137,Tick,0,0,0,0,,,0,0,0,OK
0.22242,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,,,0,0,0,OK
0.22242,TriangularBicycle_524288,Tick,0,0,0,0,,,0,0,0,OK
0.22242,Team7_921405,Tick,0,0,0,0,,,0,0,0,OK
0.540646,Gamblers_230215,Tick,0,0,0,0,,,0,0,0,OK
0.540646,TeamTeam_7340,Tick,0,0,0,0,,,0,0,0,OK
0.540646,Carolina_4733,Tick,0,0,0,0,,,0,0,0,OK
0.540646,KPW_692137,Tick,0,0,0,0,,,0,0,0,OK
0.540646,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,,,0,0,0,OK
0.540646,TriangularBicycle_524288,Tick,0,0,0,0,,,0,0,0,OK
0.540646,Team7_921405,Tick,0,0,0,0,,,0,0,0,OK
0.752456,Gamblers_230215,Tick,6,0,6,-6,140400,,-84,-516,-516,OK
0.752456,TeamTeam_7340,Tick,0,0,0,0,140400,,0,0,0,OK
0.752456,Carolina_4733,Tick,0,0,0,0,140400,,0,0,0,OK
0.752456,KPW_692137,Tick,0,6,-6,0,140400,,168,842232,842232,OK
0.752456,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140400,,0,0,0,OK
0.752456,TriangularBicycle_524288,Tick,0,0,0,0,140400,,0,0,0,OK
0.752456,Team7_921405,Tick,0,0,0,0,140400,,0,0,0,OK
0.997719,Gamblers_230215,Tick,12,0,12,-12,140400,140400,-168,-1032,-1032,OK
0.997719,TeamTeam_7340,Tick,0,0,0,0,140400,140400,0,0,0,OK
0.997719,Carolina_4733,Tick,0,0,0,0,140400,140400,0,0,0,OK
0.997719,KPW_692137,Tick,0,12,-12,0,140400,140400,336,1684464,-336,OK
0.997719,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140400,140400,0,0,0,OK
0.997719,TriangularBicycle_524288,Tick,0,0,0,0,140400,140400,0,0,0,OK
0.997719,Team7_921405,Tick,0,0,0,0,140400,140400,0,0,0,OK
1.011535,Gamblers_230215,Breach,12,0,12,-12,140400,140400,-168,-1032,-1032,
1.013093,Gamblers_230215,Disconnect,12,0,12,-12,140500,140400,-168,-1032,-1032,
1.264403,Gamblers_230215,Tick,12,0,12,-12,140500,140400,-168,-1032,168,BREACH
1.264403,TeamTeam_7340,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.264403,Carolina_4733,Tick,0,10,-10,10,140500,140400,281,-1281,-2281,OK
1.264403,KPW_692137,Tick,10,12,-2,0,140500,140400,196,279604,-1396,OK
1.264403,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.264403,TriangularBicycle_524288,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.264403,Team7_921405,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.49592,Gamblers_230215,Tick,12,0,12,-12,140500,140400,-168,-1032,168,BREACH
1.49592,TeamTeam_7340,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.49592,Carolina_4733,Tick,0,10,-10,10,140500,140400,281,-1281,-2281,OK
1.49592,KPW_692137,Tick,10,12,-2,0,140500,140400,196,279604,-1396,OK
1.49592,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.49592,TriangularBicycle_524288,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.49592,Team7_921405,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.781889,Gamblers_230215,Tick,12,0,12,-12,140500,140400,-168,-1032,168,BREACH
1.781889,TeamTeam_7340,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.781889,Carolina_4733,Tick,0,10,-10,10,140500,140400,281,-1281,-2281,OK
1.781889,KPW_692137,Tick,10,12,-2,0,140500,140400,196,279604,-1396,OK
1.781889,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.781889,TriangularBicycle_524288,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.781889,Team7_921405,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.962057,Gamblers_230215,Tick,12,0,12,-12,141000,140400,-168,-1032,2340,BREACH
1.962057,TeamTeam_7340,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.962057,Carolina_4733,Tick,0,10,-10,10,141000,140400,281,-1281,-4091,OK
1.962057,KPW_692137,Tick,10,50,-40,0,141000,140400,-339,5626739,-501,OK
1.962057,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141000,140400,0,0,0,OK
1.962057,TriangularBicycle_524288,Tick,0,10,-10,10,141000,140400,-141,3141,331,OK
1.962057,Team7_921405,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.242935,Gamblers_230215,Tick,12,0,12,-12,141000,140400,-168,-1032,2340,BREACH
2.242935,TeamTeam_7340,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.242935,Carolina_4733,Tick,0,10,-10,10,141000,140400,281,-1281,-4091,OK
2.242935,KPW_692137,Tick,10,50,-40,0,141000,140400,-339,5626739,-501,OK
2.242935,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.242935,TriangularBicycle_524288,Tick,0,10,-10,10,141000,140400,-141,3141,331,OK
2.242935,Team7_921405,Tick,0,0,0,0,141000,140400,0,0,0,OK
2.467593,Gamblers_230215,Tick,12,0,12,-12,141000,140600,-168,-1032,2340,BREACH
2.467593,TeamTeam_7340,Tick,0,0,0,0,141000,140600,0,0,0,OK
2.467593,Carolina_4733,Tick,0,10,-10,10,141000,140600,281,-1281,-4091,OK
2.467593,KPW_692137,Tick,10,50,-40,0,141000,140600,-339,5626739,-8501,OK
2.467593,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141000,140600,0,0,0,OK
2.467593,TriangularBicycle_524288,Tick,0,10,-10,10,141000,140600,-141,3141,331,OK
2.467593,Team7_921405,Tick,0,0,0,0,141000,140600,0,0,0,OK
2.766906,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
2.766906,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
2.766906,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
2.766906,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
2.766906,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
2.766906,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
2.766906,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.001883,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
3.001883,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.001883,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
3.001883,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
3.001883,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.001883,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
3.001883,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.21161,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
3.21161,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.21161,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
3.21161,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
3.21161,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.21161,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
3.21161,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.538801,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
3.538801,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.538801,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
3.538801,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
3.538801,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.538801,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
3.538801,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.721881,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
3.721881,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.721881,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
3.721881,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
3.721881,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.721881,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
3.721881,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.99148,Gamblers_230215,Tick,12,0,12,-12,140700,140600,-168,-1032,168,BREACH
3.99148,TeamTeam_7340,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.99148,Carolina_4733,Tick,0,10,-10,10,140700,140600,281,-1281,-2281,OK
3.99148,KPW_692137,Tick,10,97,-87,0,140700,140600,-1000,12240300,-600,OK
3.99148,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140700,140600,0,0,0,OK
3.99148,TriangularBicycle_524288,Tick,0,10,-10,10,140700,140600,-141,3141,2141,OK
3.99148,Team7_921405,Tick,0,0,0,0,140700,140600,0,0,0,OK
4.231881,Gamblers_230215,Tick,12,0,12,-12,141200,140600,-168,-1032,2340,BREACH
4.231881,TeamTeam_7340,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.231881,Carolina_4733,Tick,0,10,-10,10,141200,140600,281,-1281,-4091,OK
4.231881,KPW_692137,Tick,10,97,-87,0,141200,140600,-1000,12240300,-16347,OK
4.231881,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.231881,TriangularBicycle_524288,Tick,0,20,-20,20,141200,140600,-282,5282,-338,OK
4.231881,Team7_921405,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.452519,Gamblers_230215,Tick,12,0,12,-12,141200,140600,-168,-1032,2340,BREACH
4.452519,TeamTeam_7340,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.452519,Carolina_4733,Tick,0,10,-10,10,141200,140600,281,-1281,-4091,OK
4.452519,KPW_692137,Tick,10,97,-87,0,141200,140600,-1000,12240300,-16347,OK
4.452519,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.452519,TriangularBicycle_524288,Tick,0,20,-20,20,141200,140600,-282,5282,-338,OK
4.452519,Team7_921405,Tick,0,0,0,0,141200,140600,0,0,0,OK
4.700853,Gamblers_230215,Tick,12,0,12,-12,141200,140500,-168,-1032,2340,BREACH
4.700853,TeamTeam_7340,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.700853,Carolina_4733,Tick,0,10,-10,10,141200,140500,281,-1281,-4091,OK
4.700853,KPW_692137,Tick,10,97,-87,0,141200,140500,-1000,12240300,-7647,OK
4.700853,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.700853,TriangularBicycle_524288,Tick,0,20,-20,20,141200,140500,-282,5282,-338,OK
4.700853,Team7_921405,Tick,0,0,0,0,141200,140500,0,0,0,OK
4.965763,Gamblers_230215,Tick,12,0,12,-12,140500,140500,-168,-1032,-1032,BREACH
4.965763,TeamTeam_7340,Tick,0,0,0,0,140500,140500,0,0,0,OK
4.965763,Carolina_4733,Tick,0,10,-10,10,140500,140500,281,-1281,-1281,OK
4.965763,KPW_692137,Tick,61,97,-36,0,140500,140500,-1717,5075517,17517,OK
4.965763,ChickenYouAreSoBeautiful_9806,Tick,0,0,0,0,140500,140500,0,0,0,OK
4.965763,TriangularBicycle_524288,Tick,0,20,-20,20,140500,140500,-282,5282,5282,OK
4.965763,Team7_921405,Tick,0,0,0,0,140500,140500,0,0,0,OK
