Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.0,Gamblers,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderOne,Tick,0,0,0,0,127700,,0,0,0,OK
0.25,Gamblers,Tick,0,0,0,0,127700,,0,0,0,OK
0.562,TraderOne,Tick,0,10,-10,10,126600,,-126,126,126,OK
0.562,Gamblers,Tick,0,20,-20,20,126600,,-253,253,253,OK
0.72,TraderOne,Tick,0,10,-10,10,126600,,-126,126,126,OK
0.72,Gamblers,Tick,0,20,-20,20,126600,,-253,253,253,OK
0.97,TraderOne,Tick,0,10,-10,10,126600,,-126,126,126,OK
0.97,Gamblers,Tick,0,40,-40,40,126600,,253,-253,-253,OK
1.312,TraderOne,Tick,0,10,-10,10,126600,126700,-126,126,1126,OK
1.312,Gamblers,Tick,0,60,-60,60,126600,126700,759,-759,5241,OK
1.532,TraderOne,Tick,10,10,0,0,126700,126800,-253,-747,-747,OK
1.532,Gamblers,Tick,0,70,-70,70,126700,126800,1012,-2012,4988,OK
1.782,TraderOne,Tick,20,10,10,-10,126700,126800,0,3000,2000,OK
1.782,Gamblers,Tick,0,80,-80,80,126700,126800,885,-6885,1115,OK
1.97,TraderOne,Tick,20,10,10,-10,126700,126800,0,3000,2000,OK
1.97,Gamblers,Tick,0,80,-80,80,126700,126800,885,-6885,1115,OK
2.25,TraderOne,Tick,20,10,10,-10,126700,126800,0,3000,2000,OK
2.25,Gamblers,Tick,0,80,-80,80,126700,126800,885,-6885,1115,OK
2.47,TraderOne,Tick,20,10,10,-10,126700,126800,0,3000,2000,OK
2.47,Gamblers,Tick,0,80,-80,80,126700,126800,885,-6885,1115,OK
2.72,TraderOne,Tick,20,20,0,0,127300,126800,-127,2127,2127,OK
2.72,Gamblers,Tick,0,80,-80,80,127300,126800,885,-6885,-22885,OK
3.0,TraderOne,Tick,20,30,-10,10,127400,127300,128,1872,872,OK
3.0,Gamblers,Tick,0,80,-80,80,127400,127300,885,-6885,-14885,OK
3.22,TraderOne,Tick,20,30,-10,10,127400,127200,128,1872,-128,OK
3.22,Gamblers,Tick,0,80,-80,80,127400,127200,885,-6885,-22885,OK
3.5,TraderOne,Tick,20,37,-17,10,127500,127200,39,894461,661,OK
3.5,Gamblers,Tick,0,80,-80,80,127500,127200,885,-6885,-22885,OK
3.75,TraderOne,Tick,20,37,-17,17,127500,127400,39,1961,261,OK
3.75,Gamblers,Tick,0,80,-80,80,127500,127400,885,-6885,-14885,OK
4.0,TraderOne,Tick,20,37,-17,17,127500,127400,39,1961,261,OK
4.0,Gamblers,Tick,0,80,-80,80,127500,127400,885,-6885,-14885,OK
4.25,TraderOne,Tick,20,37,-17,17,127500,127600,39,1961,3661,OK
4.25,Gamblers,Tick,0,80,-80,80,127500,127600,885,-6885,1115,OK
4.532,TraderOne,Tick,20,37,-17,17,127500,127700,39,1961,5361,OK
4.532,Gamblers,Tick,0,80,-80,80,127500,127700,885,-6885,9115,OK
4.782,TraderOne,Tick,20,37,-17,17,127500,127700,39,1961,5361,OK
4.782,Gamblers,Tick,0,80,-80,80,127500,127700,885,-6885,9115,OK
5.062,TraderOne,Tick,20,37,-17,17,127500,127700,39,1961,5361,OK
5.062,Gamblers,Tick,0,80,-80,80,127500,127700,885,-6885,9115,OK
5.22,TraderOne,Tick,20,37,-17,17,127500,128000,39,1961,5361,OK
